Project name,source,subid,Age [A],% TCPA Match [B],% Ad Copy Match [C],Distance Factor [D],Rate of Lead Ingestion [E],Trust Score (Normalized)
TT kIMaTT,outtcp,1799,0.6,1.0,0.0,0.045362628026221236,0.5,1.0
TT kIMaTT,outtcp,1799,0.8,1.0,0.0,0.045362628026221236,0.5,10.0
TT kIMaTT,outwha,1006,0.0,0.4772727272727273,0.0,0.8427560425657733,1.0,1.0
TT kIMaTT,outwha,1006,0.0,0.4772727272727273,0.0,0.8427560425657733,1.0,1.0
TT kIMaTT,outwha,2375,0.5666666666666667,1.0,0.0,0.8427560425657733,0.5,7.244897959183674
TT kIMaTT,setnot,,0.8833333333333333,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.95
TT kIMaTT,outshi,,0.8833333333333333,0.6923076923076923,0.07692307692307693,0.3429806566860774,0.5,10.0
TT kIMaTT,layGoo,,0.4,1.0,1.0,0.0,0.5,10.0
TT kIMaTT,layGoo,,0.0,1.0,1.0,0.0,0.5,1.0
TT kIMaTT,outshi,529_Dupe,0.5166666666666666,0.5,0.5,0.3429806566860774,0.5,10.0
TT kIMaTT,outshi,988,0.7666666666666666,0.8,0.6,0.3429806566860774,0.5,10.0
TT kIMaTT,outlau,1803,0.6333333333333333,0.3333333333333333,0.3333333333333333,0.002604040546437196,0.5,1.0
TT kIMaTT,layGoo,,0.0,1.0,1.0,0.0,0.5,1.0
TT kIMaTT,outlau,1672,0.0,0.5,0.5,0.002604040546437196,0.5,1.0
TT kIMaTT,outlau,1672,0.7666666666666666,0.5,0.5,0.002604040546437196,0.5,10.0
TT kIMaTT,outshi,,0.7333333333333333,0.6923076923076923,0.07692307692307693,0.3429806566860774,0.5,7.0
TT kIMaTT,outshi,988_Dupe,0.7833333333333333,0.125,0.125,0.3429806566860774,0.5,10.0
TT kIMaTT,outshi,988,0.7333333333333333,0.8,0.6,0.3429806566860774,0.5,9.052631578947368
TT kIMaTT,outlau,1672,0.7666666666666666,0.5,0.5,0.002604040546437196,0.5,10.0
TT kIMaTT,layGoo,,0.0,1.0,1.0,0.0,0.5,1.0
TT kIMaTT,outlau,1672,0.6666666666666666,0.5,0.5,0.002604040546437196,0.5,8.826086956521738
TT kIMaTT,outlau,1522,0.6,0.9090909090909091,0.09090909090909091,0.002604040546437196,1.0,1.0
TT kIMaTT,outshi,1209,0.7166666666666667,0.5,0.5,0.3429806566860774,0.5,1.0
TT kIMaTT,outshi,1209,0.7833333333333333,0.5,0.5,0.3429806566860774,0.5,10.0
TT kIMaTT,outshi,1072_Dupe,0.65,0.5,0.5,0.3429806566860774,0.5,1.0
TT kIMaTT,outshi,988,0.45,0.8,0.6,0.3429806566860774,0.5,1.0
TT kIMaTT,setnot,,0.0,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,1.0
TT kIMaTT,setnot,,0.0,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,1.0
TT kIMaTT,setnot,,0.0,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,1.0
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
gh efHigh,setnot,,0.8,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,8.2
